tanggal,order_id,pelanggan_id,toko_id,produk_id,channel,qty,harga_satuan,diskon_pct,biaya_kirim
2024-01-05,ORD-2024-000022,P01986,T13,LM008,Online,1,5080000,10.7,180000
2024-01-05,ORD-2024-000035,P01180,T01,KR018,Toko,1,1090000,6.8,
2024-01-05,ORD-2024-000109,P01152,T01,PC017,Marketplace,2,1720000,11.7,280000
2024-01-05,ORD-2024-000109,P01152,T01,KS018,Marketplace,1,7410000,0.0,50000
2024-01-05,ORD-2024-000120,P00956,T09,DK022,Toko,1,550000,9.0,
2024-01-05,ORD-2024-000123,P01604,T11,PD016,Toko,1,1080000,12.8,
2024-01-05,ORD-2024-000130,P00968,T13,LM019,Online,1,5540000,16.4,240000
2024-01-05,ORD-2024-000142,P02227,T01,SF014,Marketplace,1,11630000,8.7,560000
2024-01-05,ORD-2024-000183,P02435,T12,PD008,Toko,1,970000,11.7,
2024-01-05,ORD-2024-000183,P02435,T12,KR016,Toko,2,3780000,9.4,
2024-01-05,ORD-2024-000225,P00731,T13,LM029,Online,1,8480000,0.0,480000
2024-01-05,ORD-2024-000233,P02322,T04,KS015,Marketplace,1,7280000,10.6,360000
2024-01-06,ORD-2024-000006,,T09,PD001,Toko,1,1710000,6.5,
2024-01-06,ORD-2024-000027,P02130,T13,KR024,Online,1,3000000,15.0,320000
2024-01-06,ORD-2024-000030,P01475,T13,PC026,Online,1,860000,16.3,290000
2024-01-06,ORD-2024-000032,P03181,T09,DK001,Toko,2,530000,17.4,
2024-01-06,ORD-2024-000040,P01285,T10,MJ035,Toko,1,5190000,0.0,
2024-01-06,ORD-2024-000090,P02518,T03,PD016,Toko,1,1080000,13.0,
2024-01-06,ORD-2024-000094,P03118,T10,DK005,Toko,1,430000,13.0,
2024-01-06,ORD-2024-000192,P02898,T09,KR038,Toko,2,2240000,14.8,
2024-01-06,ORD-2024-000198,P03433,T13,DK027,Online,1,630000,9.9,580000
2024-01-06,ORD-2024-000216,P00354,T08,KR014,Toko,1,3530000,11.5,
2024-01-06,ORD-2024-000224,P02743,T11,PC032,Toko,2,470000,12.3,320000
2024-01-07,ORD-2024-000007,P01407,T01,DK026,Toko,2,1170000,10.4,
2024-01-07,ORD-2024-000059,P00449,T13,DK041,Online,1,2550000,11.5,320000
2024-01-07,ORD-2024-000131,P02612,T09,PC013,Toko,2,1410000,0.0,
2024-01-07,ORD-2024-000157,P03095,T07,PC005,Toko,1,660000,10.7,
2024-01-07,ORD-2024-000166,P00951,T01,KR003,Toko,1,1440000,17.9,
2024-01-07,ORD-2024-000197,P03028,T13,DK019,Online,1,860000,9.3,150000
2024-01-07,ORD-2024-000217,P01203,T13,PD007,Online,4,770000,12.9,380000
2024-01-08,ORD-2024-000028,P00115,T10,DK038,Toko,2,530000,7.3,
2024-01-08,ORD-2024-000050,P01187,T05,DK040,Toko,2,1260000,10.4,
2024-01-08,ORD-2024-000086,P02325,T13,DK013,Online,2,1520000,14.7,50000
2024-01-08,ORD-2024-000133,P02393,T01,DK016,Toko,1,730000,0.0,160000
2024-01-08,ORD-2024-000150,P00178,T13,PD023,Online,1,1090000,13.8,70000
2024-01-08,ORD-2024-000239,P02366,T09,LM028,Toko,1,6300000,3.5,
2024-01-09,ORD-2024-000034,P00827,T01,PD025,Toko,2,1100000,5.6,
2024-01-09,ORD-2024-000160,P00869,T13,MJ019,Online,1,6140000,10.8,400000
2024-01-09,ORD-2024-000190,P00910,T11,LM019,Toko,1,5540000,0.0,
2024-01-09,ORD-2024-000191,P00258,T03,PC001,Toko,1,1430000,11.2,
2024-01-09,ORD-2024-000201,P03043,T04,PC020,Toko,1,2530000,5.8,180000
2024-01-09,ORD-2024-000201,P03043,T04,MJ030,Toko,4,2670000,11.3,
2024-01-09,ORD-2024-000201,P03043,T04,PD008,Toko,1,970000,19.0,
2024-01-10,ORD-2024-000039,P02139,T13,KR029,Online,1,5120000,9.6,380000
2024-01-10,ORD-2024-000069,P02818,T12,KR004,Toko,1,1790000,10.0,
2024-01-10,ORD-2024-000082,P00471,T13,LM014,Online,2,4520000,7.8,180000
2024-01-10,ORD-2024-000093,P00728,T11,MJ020,Toko,1,4520000,5.9,
2024-01-10,ORD-2024-000102,P01690,T13,KR045,Online,2,3000000,0.0,460000
2024-01-10,ORD-2024-000110,P00072,T01,KS026,Marketplace,1,6770000,15.5,550000
2024-01-10,ORD-2024-000144,P02710,T13,MJ008,Online,2,3030000,15.2,120000
2024-01-10,ORD-2024-000151,P02248,T13,MJ016,Online,1,7350000,11.0,240000
2024-01-10,ORD-2024-000151,P02248,T13,KR027,Online,1,1770000,11.4,540000
2024-01-10,ORD-2024-000207,,T05,DK023,Toko,2,770000,13.7,
2024-01-10,ORD-2024-000215,P00228,T13,MJ033,Online,2,4180000,1.3,300000
2024-01-11,ORD-2024-000026,P02350,T03,DK007,Toko,1,900000,16.6,
2024-01-11,ORD-2024-000046,P00528,T13,PD010,Online,1,450000,5.1,120000
2024-01-11,ORD-2024-000056,P01829,T11,MJ019,Toko,1,6140000,12.9,
2024-01-11,ORD-2024-000056,P01829,T11,DK037,Toko,1,540000,9.6,80000
2024-01-11,ORD-2024-000056,P01829,T11,KR011,Toko,1,1570000,12.5,
2024-01-11,ORD-2024-000098,P01914,T03,KR019,Toko,1,2530000,10.1,80000
2024-01-11,ORD-2024-000153,P00534,T12,KR003,Toko,1,1440000,11.4,
2024-01-11,ORD-2024-000172,P01718,T06,PD021,Toko,1,660000,0.0,
2024-01-11,ORD-2024-000173,P00309,T13,PD024,Online,1,1130000,13.7,350000
2024-01-11,ORD-2024-000227,P02765,T06,MJ013,Toko,2,2960000,0.0,
2024-01-12,ORD-2024-000041,P01598,T05,PC012,Marketplace,1,1870000,12.9,410000
2024-01-12,ORD-2024-000065,P00719,T13,PD003,Online,1,1200000,13.6,550000
2024-01-12,ORD-2024-000072,P00709,T01,DK032,Marketplace,1,340000,15.6,290000
2024-01-12,ORD-2024-000106,P00750,T01,DK016,Marketplace,1,730000,9.6,90000
2024-01-12,ORD-2024-000106,P00750,T01,DK025,Marketplace,1,660000,17.7,160000
2024-01-12,ORD-2024-000128,P01908,T13,PC019,Online,1,1840000,15.6,290000
2024-01-12,ORD-2024-000137,P02886,T07,SF013,Toko,4,16570000,0.0,
2024-01-12,ORD-2024-000220,P00961,T09,MJ028,Toko,1,10280000,0.0,
2024-01-12,ORD-2024-000226,P03452,T13,PD022,Online,1,520000,8.9,470000
2024-01-12,ORD-2024-000230,P03108,T13,PC005,Online,2,660000,4.0,450000
2024-01-12,ORD-2024-000230,P03108,T13,KR042,Online,1,1850000,12.4,240000
2024-01-13,ORD-2024-000018,P01239,T13,SF042,Online,1,4260000,9.6,480000
2024-01-13,ORD-2024-000018,P01239,T13,DK003,Online,1,420000,10.9,100000
2024-01-13,ORD-2024-000062,P00401,T10,MJ020,Toko,1,4520000,8.1,
2024-01-13,ORD-2024-000084,P00968,T08,DK035,Toko,1,400000,16.0,
2024-01-13,ORD-2024-000084,P00968,T08,PD026,Toko,1,520000,12.1,
2024-01-13,ORD-2024-000084,P00968,T08,DK005,Toko,1,430000,5.3,
2024-01-13,ORD-2024-000159,P02825,T12,KR028,Toko,1,1780000,8.6,
2024-01-13,ORD-2024-000228,P00390,T02,MJ001,Marketplace,2,2940000,0.0,120000
2024-01-14,ORD-2024-000010,,T03,DK032,Toko,1,340000,0.0,150000
2024-01-14,ORD-2024-000031,P03431,T09,MJ021,Toko,1,2560000,13.1,
2024-01-14,ORD-2024-000044,P02881,T02,DK017,Toko,1,1740000,9.8,
2024-01-14,ORD-2024-000044,P02881,T02,SF013,Toko,1,16570000,3.7,
2024-01-14,ORD-2024-000054,P00611,T01,LM021,Toko,1,7550000,12.1,
2024-01-14,ORD-2024-000057,P02548,T08,KR004,Marketplace,1,1790000,7.1,190000
2024-01-14,ORD-2024-000058,P00522,T04,LM026,Toko,1,5250000,11.6,
2024-01-14,ORD-2024-000078,P02191,T06,DK007,Toko,1,900000,3.7,
2024-01-14,ORD-2024-000097,P03452,T01,DK023,Toko,1,770000,18.7,
2024-01-14,ORD-2024-000116,P03081,T11,PC007,Toko,3,1510000,4.8,
2024-01-14,ORD-2024-000134,P01440,T13,PC026,Online,1,860000,6.0,420000
2024-01-14,ORD-2024-000139,P00642,T13,PD023,Online,1,1090000,10.0,450000
2024-01-14,ORD-2024-000154,P00599,T10,SF017,Toko,1,8850000,21.0,
2024-01-14,ORD-2024-000219,P00602,T07,KR022,Toko,1,2200000,7.2,
2024-01-15,ORD-2024-000003,P01266,T02,KR027,Marketplace,1,1770000,0.0,520000
2024-01-15,ORD-2024-000003,P01266,T02,KR019,Marketplace,3,2530000,0.0,530000
2024-01-15,ORD-2024-000003,P01266,T02,LM029,Marketplace,1,8480000,0.0,420000
2024-01-15,ORD-2024-000008,P02989,T09,PC026,Toko,1,860000,0.0,
2024-01-15,ORD-2024-000017,P01196,T07,SF042,Marketplace,1,4260000,10.1,580000
2024-01-15,ORD-2024-000124,P01360,T13,LM036,Online,2,4150000,19.5,200000
2024-01-15,ORD-2024-000162,P02521,T13,KR001,Online,2,3260000,0.0,330000
2024-01-15,ORD-2024-000238,P00379,T13,PD022,Online,1,520000,8.0,150000
2024-01-16,ORD-2024-000013,P03237,T07,PD008,Toko,1,970000,16.7,
2024-01-16,ORD-2024-000152,P01621,T03,PD010,Toko,1,450000,16.7,
2024-01-16,ORD-2024-000170,P00998,T07,PD004,Toko,1,1050000,14.9,
2024-01-17,ORD-2024-000012,P00064,T13,PD024,Online,1,1130000,14.5,390000
2024-01-17,ORD-2024-000043,P01847,T02,PD009,Toko,1,840000,0.0,
2024-01-17,ORD-2024-000066,P01365,T01,DK022,Toko,1,550000,19.7,
2024-01-17,ORD-2024-000080,P02401,T13,MJ041,Online,1,2240000,13.1,280000
2024-01-17,ORD-2024-000161,P02202,T13,PD021,Online,1,660000,0.0,
2024-01-17,ORD-2024-000193,P00684,T13,KS021,Online,1,8510000,18.6,490000
2024-01-17,ORD-2024-000195,P01664,T13,DK001,Online,1,530000,4.4,290000
2024-01-18,ORD-2024-000015,P01182,T11,MJ009,Toko,1,2670000,12.0,300000
2024-01-18,ORD-2024-000049,P03343,T05,DK034,Marketplace,1,830000,14.4,470000
2024-01-18,ORD-2024-000063,P02048,T06,MJ043,Toko,1,4010000,12.0,
2024-01-19,ORD-2024-000002,P00550,T06,PD019,Marketplace,1,1260000,11.0,380000
2024-01-19,ORD-2024-000004,P00978,T13,PC007,Online,1,1510000,10.5,190000
2024-01-19,ORD-2024-000019,P00800,T13,SF038,Online,2,6260000,18.4,340000
2024-01-19,ORD-2024-000042,P02492,T03,DK004,Toko,1,1240000,13.4,
2024-01-19,ORD-2024-000055,P03169,T06,PC002,Marketplace,1,1740000,0.0,270000
2024-01-19,ORD-2024-000087,P02759,T04,KR024,Toko,3,3000000,10.9,
2024-01-19,ORD-2024-000088,P02136,T13,DK038,Online,4,530000,16.1,50000
2024-01-19,ORD-2024-000088,P02136,T13,KR016,Online,2,3780000,11.3,580000
2024-01-19,ORD-2024-000127,P00405,T13,KR021,Online,1,2670000,13.9,440000
2024-01-19,ORD-2024-000145,P01895,T13,KR006,Online,1,3040000,15.0,140000
2024-01-19,ORD-2024-000158,P02058,T13,PD018,Online,1,530000,6.7,210000
2024-01-19,ORD-2024-000178,P03165,T06,PD008,Marketplace,2,970000,0.0,110000
2024-01-19,ORD-2024-000223,P00667,T08,MJ018,Toko,2,3700000,5.9,
2024-01-20,ORD-2024-000009,P03088,T13,KR039,Online,2,2460000,0.0,560000
2024-01-20,ORD-2024-000068,P01309,T13,MJ010,Online,1,3850000,8.1,280000
2024-01-20,ORD-2024-000092,P02357,T03,SF029,Toko,1,7520000,11.2,
2024-01-20,ORD-2024-000108,P02763,T13,PC031,Online,3,1660000,0.0,480000
2024-01-20,ORD-2024-000114,P02732,T10,DK001,Toko,1,530000,8.8,130000
2024-01-20,ORD-2024-000126,P01019,T13,DK033,Online,3,220000,17.9,540000
2024-01-20,ORD-2024-000187,P02213,T11,LM020,Marketplace,1,8740000,7.4,190000
2024-01-20,ORD-2024-000206,P01429,T13,PD021,Online,1,660000,17.6,80000
2024-01-20,ORD-2024-000212,P02285,T13,PC006,Online,2,1850000,7.2,430000
2024-01-21,ORD-2024-000036,P00376,T13,PC024,Online,1,850000,15.6,300000
2024-01-21,ORD-2024-000103,P01797,T10,MJ016,Toko,1,7350000,14.5,
2024-01-21,ORD-2024-000104,P02490,T06,DK033,Toko,1,220000,10.6,
2024-01-21,ORD-2024-000122,P02024,T12,DK030,Toko,1,930000,13.2,
2024-01-21,ORD-2024-000147,P01507,T13,PD021,Online,1,660000,12.4,340000
2024-01-21,ORD-2024-000155,P03391,T11,DK010,Marketplace,2,690000,16.7,530000
2024-01-21,ORD-2024-000168,P01509,T12,PC029,Toko,1,1900000,6.2,
2024-01-21,ORD-2024-000168,P01509,T12,PD019,Toko,2,1260000,0.0,
2024-01-21,ORD-2024-000181,P03436,T05,DK027,Marketplace,1,630000,4.0,470000
2024-01-21,ORD-2024-000205,P01615,T13,PC009,Online,1,1490000,9.7,580000
2024-01-21,ORD-2024-000209,P01384,T12,KR044,Toko,1,2280000,11.0,
2024-01-21,ORD-2024-000235,P03259,T05,PC022,Toko,1,3000000,0.0,
2024-01-22,ORD-2024-000095,P02305,T13,SF032,Online,1,6260000,5.5,280000
2024-01-22,ORD-2024-000095,P02305,T13,KS013,Online,3,10990000,0.0,80000
2024-01-22,ORD-2024-000096,P00921,T06,PD018,Marketplace,3,530000,10.3,300000
2024-01-22,ORD-2024-000105,P01113,T13,PC016,Online,1,1760000,13.7,530000
2024-01-22,ORD-2024-000125,P00244,T02,DK027,Toko,1,630000,14.2,
2024-01-22,ORD-2024-000185,P01210,T06,SF035,Toko,1,5970000,0.0,
2024-01-22,ORD-2024-000185,P01210,T06,MJ038,Toko,1,5030000,15.9,
2024-01-22,ORD-2024-000221,P00417,T09,MJ029,Marketplace,2,2890000,16.0,230000
2024-01-23,ORD-2024-000011,P00179,T07,PC029,Toko,1,1900000,11.1,
2024-01-23,ORD-2024-000053,P01606,T13,DK019,Online,1,860000,0.0,480000
2024-01-23,ORD-2024-000074,P02058,T13,PC017,Online,1,1720000,10.8,470000
2024-01-23,ORD-2024-000079,P02222,T08,LM001,Toko,1,6680000,9.3,80000
2024-01-23,ORD-2024-000089,P01934,T08,SF021,Toko,2,9200000,12.6,
2024-01-23,ORD-2024-000091,P02474,T08,DK029,Marketplace,2,500000,14.0,240000
2024-01-23,ORD-2024-000117,P02272,T13,DK011,Online,1,2070000,4.4,470000
2024-01-23,ORD-2024-000136,P01320,T13,MJ025,Online,1,5470000,8.9,550000
2024-01-23,ORD-2024-000143,P03055,T13,LM026,Online,1,5250000,12.1,180000
2024-01-23,ORD-2024-000143,P03055,T13,MJ046,Online,1,2600000,9.1,510000
2024-01-23,ORD-2024-000143,P03055,T13,PD014,Online,1,1590000,22.9,370000
2024-01-23,ORD-2024-000231,P01371,T02,KR044,Marketplace,2,2280000,10.5,220000
2024-01-24,ORD-2024-000038,P03175,T13,KS031,Online,1,4390000,13.9,290000
2024-01-24,ORD-2024-000060,P00926,T01,PC013,Toko,1,1410000,5.5,
2024-01-24,ORD-2024-000075,P02093,T01,DK005,Toko,3,430000,10.6,
2024-01-24,ORD-2024-000075,P02093,T01,MJ037,Toko,1,3320000,6.9,
2024-01-24,ORD-2024-000115,P00243,T04,DK032,Toko,2,340000,0.0,
2024-01-24,ORD-2024-000148,P01770,T10,MJ024,Marketplace,1,3010000,15.9,
2024-01-24,ORD-2024-000176,P02785,T13,PC006,Online,1,1850000,0.0,570000
2024-01-24,ORD-2024-000199,P02039,T01,SF020,Marketplace,1,9700000,11.4,260000
2024-01-24,ORD-2024-000214,P00873,T13,DK021,Online,1,1010000,12.3,500000
2024-01-25,ORD-2024-000076,P03011,T13,PD023,Online,4,1090000,12.0,340000
2024-01-25,ORD-2024-000171,P00715,T13,KR031,Online,1,2350000,10.8,330000
2024-01-25,ORD-2024-000175,P01345,T12,PD016,Toko,2,1080000,11.4,
2024-01-25,ORD-2024-000175,P01345,T12,PC017,Toko,2,1720000,6.6,
2024-01-25,ORD-2024-000184,P03235,T13,PD016,Online,1,1080000,15.3,50000
2024-01-25,ORD-2024-000200,P01155,T03,LM001,Toko,1,6680000,18.5,210000
2024-01-25,ORD-2024-000200,P01155,T03,PC017,Toko,1,1720000,0.0,
2024-01-25,ORD-2024-000229,,T01,MJ020,Toko,2,4520000,12.8,
2024-01-26,ORD-2024-000024,P01278,T05,LM007,Toko,1,4350000,3.0,
2024-01-26,ORD-2024-000024,P01278,T05,PC012,Toko,1,1870000,7.2,
2024-01-26,ORD-2024-000024,P01278,T05,PD026,Toko,1,520000,16.4,
2024-01-26,ORD-2024-000045,P00121,T13,LM018,Online,2,22510000,12.7,80000
2024-01-26,ORD-2024-000051,P00458,T02,MJ032,Marketplace,1,5400000,11.7,300000
2024-01-26,ORD-2024-000077,,T09,PC030,Toko,1,1220000,7.1,
2024-01-26,ORD-2024-000085,P01771,T02,PC003,Marketplace,3,1200000,9.5,340000
2024-01-26,ORD-2024-000140,P02336,T13,DK040,Online,1,1260000,0.0,390000
2024-01-26,ORD-2024-000167,,T05,KR015,Toko,1,2050000,15.4,
2024-01-26,ORD-2024-000169,P02986,T13,DK025,Online,1,660000,6.0,230000
2024-01-26,ORD-2024-000179,P02979,T13,PC025,Online,2,1800000,5.9,230000
2024-01-26,ORD-2024-000211,P02199,T13,MJ018,Online,1,3700000,9.9,110000
2024-01-27,ORD-2024-000025,P03476,T07,PD010,Marketplace,1,450000,17.2,440000
2024-01-27,ORD-2024-000048,P00534,T10,MJ037,Marketplace,1,3320000,5.6,
2024-01-27,ORD-2024-000083,P01867,T05,PC023,Toko,2,1920000,15.9,
2024-01-27,ORD-2024-000119,P03318,T06,KS020,Toko,2,17920000,6.9,
2024-01-27,ORD-2024-000213,,T05,KR038,Toko,1,2240000,14.1,330000
2024-01-27,ORD-2024-000232,P02210,T08,DK017,Toko,1,1740000,14.8,
2024-01-27,ORD-2024-000237,P02279,T13,PD012,Online,1,1500000,10.8,320000
2024-01-27,ORD-2024-000237,P02279,T13,PC032,Online,1,470000,1.5,520000
2024-01-28,ORD-2024-000005,P02270,T01,KR009,Toko,2,3260000,9.6,
2024-01-28,ORD-2024-000099,P01334,T13,DK023,Online,1,770000,6.1,430000
2024-01-28,ORD-2024-000113,,T03,PC014,Toko,1,1800000,12.0,
2024-01-28,ORD-2024-000149,P03189,T12,MJ017,Marketplace,2,3280000,8.5,60000
2024-01-28,ORD-2024-000182,P00591,T10,DK039,Toko,1,870000,8.2,
2024-01-28,ORD-2024-000196,P00323,T06,KR005,Toko,3,3610000,11.3,
2024-01-28,ORD-2024-000208,P01204,T01,KS009,Marketplace,1,11180000,10.9,230000
2024-01-28,ORD-2024-000208,P01204,T01,DK031,Marketplace,1,800000,0.0,590000
2024-01-28,ORD-2024-000218,P01584,T13,PD019,Online,1,1260000,6.7,580000
2024-01-29,ORD-2024-000001,P01681,T13,KR015,Online,1,2050000,1.5,180000
2024-01-29,ORD-2024-000014,P03275,T11,MJ032,Toko,1,5400000,15.6,
2024-01-29,ORD-2024-000014,P03275,T11,PD012,Toko,2,1500000,0.0,
2024-01-29,ORD-2024-000014,P03275,T11,KR005,Toko,1,3610000,12.6,260000
2024-01-29,ORD-2024-000071,P00992,T13,DK034,Online,1,830000,0.0,80000
2024-01-29,ORD-2024-000081,P00130,T04,KR047,Toko,1,4470000,5.9,
2024-01-29,ORD-2024-000100,P02127,T13,DK019,Online,1,860000,17.2,150000
2024-01-29,ORD-2024-000111,P01191,T13,DK022,Online,1,550000,0.0,230000
2024-01-29,ORD-2024-000121,P02438,T09,KS034,Toko,1,6400000,10.3,
2024-01-29,ORD-2024-000186,P01975,T06,SF042,Toko,1,4260000,0.0,
2024-01-29,ORD-2024-000204,P02398,T04,PD022,Toko,1,520000,15.5,
2024-01-29,ORD-2024-000236,P00910,T04,KR006,Toko,2,3040000,4.6,
2024-01-29,ORD-2024-000236,P00910,T04,PD026,Toko,1,520000,0.0,
2024-01-30,ORD-2024-000021,P02658,T13,SF031,Online,1,3420000,0.0,370000
2024-01-30,ORD-2024-000047,P01196,T02,PC021,Marketplace,2,4550000,11.1,500000
2024-01-30,ORD-2024-000047,P01196,T02,LM004,Marketplace,1,4320000,11.9,500000
2024-01-30,ORD-2024-000047,P01196,T02,SF024,Marketplace,2,3520000,12.9,230000
2024-01-30,ORD-2024-000052,P00251,T02,PD025,Toko,1,1100000,13.1,
2024-01-30,ORD-2024-000070,P02604,T05,MJ044,Marketplace,1,6150000,13.9,380000
2024-01-30,ORD-2024-000141,P00713,T01,KR024,Marketplace,1,3000000,15.1,320000
2024-01-30,ORD-2024-000163,P03449,T13,MJ015,Online,2,2920000,18.1,270000
2024-01-30,ORD-2024-000165,P01580,T10,DK006,Toko,2,2070000,14.2,
2024-01-30,ORD-2024-000202,P00752,T08,MJ029,Marketplace,1,2890000,16.2,500000
2024-01-30,ORD-2024-000222,P02411,T13,MJ019,Online,1,6140000,0.0,140000
2024-01-31,ORD-2024-000037,P00563,T04,SF020,Toko,2,9700000,0.0,
2024-01-31,ORD-2024-000037,P00563,T04,KR021,Toko,1,2670000,10.6,
2024-01-31,ORD-2024-000073,P01370,T03,SF031,Toko,1,3420000,15.0,
2024-01-31,ORD-2024-000101,P01635,T07,KR018,Toko,1,1090000,14.9,
2024-01-31,ORD-2024-000132,P02276,T06,PD006,Toko,3,970000,9.8,
2024-01-31,ORD-2024-000135,P02790,T07,KR010,Toko,2,1900000,7.6,
2024-01-31,ORD-2024-000189,P03269,T04,KR016,Toko,1,3780000,13.3,
2024-02-01,ORD-2024-000248,P03386,T13,PC030,Online,1,1220000,9.7,460000
2024-02-01,ORD-2024-000248,P03386,T13,MJ015,Online,2,2920000,16.4,270000
2024-02-01,ORD-2024-000281,P01273,T04,KR013,Toko,2,3330000,7.0,
2024-02-01,ORD-2024-000338,P02985,T12,KR018,Toko,3,1090000,8.0,
2024-02-01,ORD-2024-000338,P02985,T12,PC023,Toko,1,1920000,16.4,340000
2024-02-01,ORD-2024-000370,P02860,T01,KR047,Toko,2,4470000,11.1,
2024-02-01,ORD-2024-000378,P03304,T13,SF016,Online,4,10420000,12.4,410000
2024-02-01,ORD-2024-000384,P01986,T13,DK040,Online,2,1260000,13.3,420000
2024-02-01,ORD-2024-000384,P01986,T13,PD001,Online,1,1710000,5.4,220000
2024-02-02,ORD-2024-000285,P01985,T07,KS009,Toko,2,11180000,6.5,
2024-02-02,ORD-2024-000309,P02193,T13,KR013,Online,2,3330000,11.2,140000
2024-02-02,ORD-2024-000326,P00560,T07,DK011,Toko,1,2070000,7.0,
2024-02-02,ORD-2024-000326,P00560,T07,MJ026,Toko,2,3480000,15.9,
2024-02-02,ORD-2024-000351,P03172,T11,DK023,Toko,1,770000,4.5,
2024-02-02,ORD-2024-000351,P03172,T11,DK038,Toko,2,530000,8.8,
2024-02-02,ORD-2024-000379,P02318,T03,MJ021,Toko,1,2560000,10.4,
2024-02-02,ORD-2024-000427,P02976,T05,PC005,Toko,2,660000,16.9,
2024-02-02,ORD-2024-000448,P00946,T13,KR002,Online,1,1500000,13.2,220000
2024-02-02,ORD-2024-000453,P00665,T03,MJ019,Toko,1,6140000,9.1,
2024-02-03,ORD-2024-000256,P00547,T13,KR042,Online,1,1850000,0.0,80000
2024-02-03,ORD-2024-000256,P00547,T13,LM031,Online,3,6490000,13.2,580000
2024-02-03,ORD-2024-000276,P02202,T13,KR018,Online,1,1090000,14.8,150000
2024-02-03,ORD-2024-000284,P00228,T09,DK018,Marketplace,2,1000000,10.3,460000
2024-02-03,ORD-2024-000286,P01190,T04,KS006,Toko,1,8770000,5.1,
2024-02-03,ORD-2024-000315,P02349,T13,DK040,Online,2,1260000,14.3,100000
2024-02-03,ORD-2024-000315,P02349,T13,KR002,Online,1,1500000,9.5,190000
2024-02-03,ORD-2024-000392,P00637,T12,SF005,Toko,1,13820000,10.1,260000
2024-02-04,ORD-2024-000259,P01812,T10,DK014,Toko,4,890000,0.0,210000
2024-02-04,ORD-2024-000279,P02540,T13,DK033,Online,1,220000,14.8,570000
2024-02-04,ORD-2024-000289,P02503,T10,DK033,Marketplace,2,220000,14.8,340000
2024-02-04,ORD-2024-000298,P02844,T13,DK008,Online,1,910000,0.0,510000
2024-02-04,ORD-2024-000310,P00054,T05,PC001,Marketplace,2,1430000,11.9,110000
2024-02-04,ORD-2024-000321,P00496,T13,DK028,Online,1,730000,15.7,230000
2024-02-04,ORD-2024-000365,,T06,PC019,Toko,2,1840000,16.2,
2024-02-04,ORD-2024-000419,P01958,T06,PD004,Marketplace,1,1050000,10.0,260000
2024-02-04,ORD-2024-000439,P00535,T09,PD012,Toko,1,1500000,16.7,
2024-02-04,ORD-2024-000439,P00535,T09,DK002,Toko,2,490000,5.7,
2024-02-04,ORD-2024-000456,P01985,T13,KS015,Online,1,7280000,5.1,180000
2024-02-05,ORD-2024-000272,P03218,T01,SF008,Marketplace,2,13020000,0.0,270000
2024-02-05,ORD-2024-000322,P02165,T10,DK025,Toko,2,660000,0.0,
2024-02-05,ORD-2024-000364,P01820,T13,DK023,Online,1,770000,6.8,330000
2024-02-05,ORD-2024-000364,P01820,T13,KS027,Online,1,6560000,14.5,340000
2024-02-05,ORD-2024-000367,P03135,T09,KR028,Toko,1,1780000,12.4,
