produk_id,nama_produk,kategori,harga_jual,harga_modal
DK017,Dekorasi Seri 017,Dekorasi,1740000,1110000
DK018,Dekorasi Seri 018,Dekorasi,1000000,650000
DK019,Dekorasi Seri 019,Dekorasi,860000,530000
DK020,Dekorasi Seri 020,Dekorasi,690000,430000
DK021,Dekorasi Seri 021,Dekorasi,1010000,670000
DK022,Dekorasi Seri 022,Dekorasi,550000,340000
DK023,Dekorasi Seri 023,Dekorasi,770000,490000
DK024,Dekorasi Seri 024,Dekorasi,930000,600000
DK025,Dekorasi Seri 025,Dekorasi,660000,430000
DK026,Dekorasi Seri 026,Dekorasi,1170000,750000
DK027,Dekorasi Seri 027,Dekorasi,630000,410000
DK028,Dekorasi Seri 028,Dekorasi,730000,460000
DK029,Dekorasi Seri 029,Dekorasi,500000,310000
DK030,Dekorasi Seri 030,Dekorasi,930000,580000
DK031,Dekorasi Seri 031,Dekorasi,800000,510000
DK032,Dekorasi Seri 032,Dekorasi,340000,210000
DK033,Dekorasi Seri 033,Dekorasi,220000,130000
DK034,Dekorasi Seri 034,Dekorasi,830000,550000
DK035,Dekorasi Seri 035,Dekorasi,400000,260000
DK036,Dekorasi Seri 036,Dekorasi,510000,330000
DK037,Dekorasi Seri 037,Dekorasi,540000,320000
DK038,Dekorasi Seri 038,Dekorasi,530000,330000
DK039,Dekorasi Seri 039,Dekorasi,870000,520000
DK040,Dekorasi Seri 040,Dekorasi,1260000,840000
DK041,Dekorasi Seri 041,Dekorasi,2550000,1620000
DK042,Dekorasi Seri 042,Dekorasi,1280000,820000
DK043,Dekorasi Seri 043,Dekorasi,760000,480000
DK044,Dekorasi Seri 044,Dekorasi,1380000,900000
PC001,Pencahayaan Seri 001,Pencahayaan,1430000,900000
PC002,Pencahayaan Seri 002,Pencahayaan,1740000,1190000
PC003,Pencahayaan Seri 003,Pencahayaan,1200000,750000
PC004,Pencahayaan Seri 004,Pencahayaan,1660000,1080000
PC005,Pencahayaan Seri 005,Pencahayaan,660000,460000
PC006,Pencahayaan Seri 006,Pencahayaan,1850000,1230000
PC007,Pencahayaan Seri 007,Pencahayaan,1510000,890000
PC008,Pencahayaan Seri 008,Pencahayaan,1830000,1150000
PC009,Pencahayaan Seri 009,Pencahayaan,1490000,990000
PC010,Pencahayaan Seri 010,Pencahayaan,1240000,700000
PC011,Pencahayaan Seri 011,Pencahayaan,4490000,2790000
PC012,Pencahayaan Seri 012,Pencahayaan,1870000,1250000
PC013,Pencahayaan Seri 013,Pencahayaan,1410000,950000
PC014,Pencahayaan Seri 014,Pencahayaan,1800000,1170000
PC015,Pencahayaan Seri 015,Pencahayaan,1320000,830000
PC016,Pencahayaan Seri 016,Pencahayaan,1760000,1190000
PC017,Pencahayaan Seri 017,Pencahayaan,1720000,1130000
PC018,Pencahayaan Seri 018,Pencahayaan,1420000,970000
PC019,Pencahayaan Seri 019,Pencahayaan,1840000,1210000
PC020,Pencahayaan Seri 020,Pencahayaan,2530000,1580000
PC021,Pencahayaan Seri 021,Pencahayaan,4550000,2970000
PC022,Pencahayaan Seri 022,Pencahayaan,3000000,1810000
PC023,Pencahayaan Seri 023,Pencahayaan,1920000,1240000
PC024,Pencahayaan Seri 024,Pencahayaan,850000,560000
PC025,Pencahayaan Seri 025,Pencahayaan,1800000,1160000
PC026,Pencahayaan Seri 026,Pencahayaan,860000,570000
PC027,Pencahayaan Seri 027,Pencahayaan,3210000,2080000
PC028,Pencahayaan Seri 028,Pencahayaan,2190000,1450000
PC029,Pencahayaan Seri 029,Pencahayaan,1900000,1290000
PC030,Pencahayaan Seri 030,Pencahayaan,1220000,790000
PC031,Pencahayaan Seri 031,Pencahayaan,1660000,1060000
PC032,Pencahayaan Seri 032,Pencahayaan,470000,300000
PD001,Peralatan Dapur Seri 001,Peralatan Dapur,1710000,1090000
PD002,Peralatan Dapur Seri 002,Peralatan Dapur,1150000,760000
PD003,Peralatan Dapur Seri 003,Peralatan Dapur,1200000,770000
PD004,Peralatan Dapur Seri 004,Peralatan Dapur,1050000,720000
PD005,Peralatan Dapur Seri 005,Peralatan Dapur,390000,250000
PD006,Peralatan Dapur Seri 006,Peralatan Dapur,970000,590000
PD007,Peralatan Dapur Seri 007,Peralatan Dapur,770000,490000
PD008,Peralatan Dapur Seri 008,Peralatan Dapur,970000,620000
PD009,Peralatan Dapur Seri 009,Peralatan Dapur,840000,550000
PD010,Peralatan Dapur Seri 010,Peralatan Dapur,450000,290000
PD011,Peralatan Dapur Seri 011,Peralatan Dapur,750000,500000
PD012,Peralatan Dapur Seri 012,Peralatan Dapur,1500000,930000
PD013,Peralatan Dapur Seri 013,Peralatan Dapur,1030000,640000
PD014,Peralatan Dapur Seri 014,Peralatan Dapur,1590000,1020000
PD015,Peralatan Dapur Seri 015,Peralatan Dapur,750000,470000
PD016,Peralatan Dapur Seri 016,Peralatan Dapur,1080000,660000
PD017,Peralatan Dapur Seri 017,Peralatan Dapur,2370000,1630000
PD018,Peralatan Dapur Seri 018,Peralatan Dapur,530000,300000
PD019,Peralatan Dapur Seri 019,Peralatan Dapur,1260000,830000
PD020,Peralatan Dapur Seri 020,Peralatan Dapur,920000,610000
PD021,Peralatan Dapur Seri 021,Peralatan Dapur,660000,430000
PD022,Peralatan Dapur Seri 022,Peralatan Dapur,520000,340000
PD023,Peralatan Dapur Seri 023,Peralatan Dapur,1090000,700000
PD024,Peralatan Dapur Seri 024,Peralatan Dapur,1130000,710000
PD025,Peralatan Dapur Seri 025,Peralatan Dapur,1100000,680000
PD026,Peralatan Dapur Seri 026,Peralatan Dapur,520000,370000
